Epoch,Loss,Recall,NDCG,Precision,Hit Ratio,Training Time,batch size,lr
12,28.9741251,0.296857029,0.617983639,0.239766687,0.934252381,10.55376673,512,0.001
13,28.18110697,0.298581183,0.624426484,0.239448577,0.932131469,10.88587999,512,0.001
14,27.66328493,0.303037524,0.628384948,0.242842004,0.93743372,11.00954556,512,0.001
15,26.90508926,0.306456983,0.633055627,0.244008496,0.939554632,10.69837832,512,0.001
16,25.93898378,0.306824595,0.627991199,0.244273603,0.934252381,10.6205883,512,0.001
17,25.7021392,0.308147341,0.631170392,0.246606559,0.934252381,10.55077457,512,0.001
18,25.34444022,0.306865603,0.633249819,0.245174989,0.938494146,10.57371306,512,0.001
19,24.89793474,0.31332013,0.634610593,0.248515382,0.938494146,11.5580802,512,0.001
20,24.29765961,0.314759314,0.63555783,0.249257699,0.941675484,10.48495173,512,0.001
21,23.64354421,0.321125388,0.641271532,0.254506886,0.94273597,10.58967066,512,0.001
22,23.61961329,0.31830135,0.6424703,0.252120882,0.94273597,10.49395561,512,0.001
23,23.05736976,0.319830626,0.639459908,0.253923655,0.941675484,10.45602608,512,0.001
24,22.35235485,0.320532918,0.646272898,0.252863199,0.948038161,10.90784907,512,0.001
25,21.85147043,0.319176883,0.644561529,0.254135728,0.945917308,11.07742596,512,0.001
26,22.0670085,0.317721933,0.651163936,0.254188746,0.951219499,10.82503939,512,0.001
0,52.64280652,0.243643671,0.551159561,0.187910929,0.893955469,10.53348112,512,0.005
1,35.69216347,0.263707399,0.580135405,0.207317069,0.919406176,10.1269331,512,0.005
2,30.26341498,0.272720277,0.598231316,0.223594919,0.905620337,9.995245934,512,0.005
3,27.10161795,0.291623324,0.612550497,0.230858952,0.936373293,10.17078972,512,0.005
4,24.34887239,0.292642802,0.610912204,0.235312819,0.931071043,10.35828876,512,0.005
5,22.37020051,0.291551024,0.622872472,0.236055136,0.935312808,10.48398471,512,0.005
6,20.66759096,0.29977265,0.627744615,0.241516441,0.939554632,10.90682483,512,0.005
7,19.22346335,0.303343803,0.625441015,0.244432643,0.944856822,10.67045474,512,0.005
8,17.44944493,0.30686152,0.638957322,0.247136816,0.93743372,10.63255596,512,0.005
9,16.40825567,0.304236382,0.632082283,0.244432673,0.939554632,10.66945696,512,0.005
10,15.65965874,0.301874399,0.63276279,0.242576897,0.949098647,10.72231674,512,0.005
11,14.64552873,0.308620363,0.630705237,0.244220585,0.949098647,10.8449862,512,0.005
12,13.65065989,0.311247289,0.628215134,0.245174974,0.952279985,11.33168435,512,0.005
13,12.83591069,0.301446617,0.615395904,0.240933195,0.936373293,11.3286922,512,0.005
14,12.54255715,0.29188484,0.616293132,0.234782606,0.931071043,10.62457919,512,0.005
15,11.56178354,0.292021543,0.61272192,0.235524923,0.935312808,10.58767891,512,0.005
16,11.14554352,0.288800627,0.610385537,0.234676555,0.933191955,10.76620078,512,0.005
17,10.82101209,0.291241169,0.618127227,0.23154825,0.938494146,10.95070362,512,0.005
